"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2198
125.5 0.0000020392 0.0019543 10686
125.6 0.0000020809 0.0019927 10684
125.7 0.0000021234 0.0020318 10682
125.8 0.0000021668 0.0020716 10680
125.9 0.0000022109 0.0021121 10678
126 0.0000022558 0.0021533 10676
126.1 0.0000023016 0.0021953 10674
126.2 0.0000023482 0.0022379 10672
126.3 0.0000023956 0.0022814 10670
126.4 0.000002444 0.0023255 10668
126.5 0.0000024932 0.0023705 10666
126.6 0.0000025433 0.0024162 10665
126.7 0.0000025943 0.0024628 10663
126.8 0.0000026463 0.0025101 10661
126.9 0.0000026991 0.0025582 10659
127 0.000002753 0.0026072 10657
127.1 0.0000028078 0.0026571 10655
127.2 0.0000028636 0.0027077 10653
127.3 0.0000029204 0.0027593 10651
127.4 0.0000029783 0.0028117 10649
127.5 0.0000030371 0.0028651 10647
127.6 0.0000030971 0.0029193 10645
127.7 0.0000031581 0.0029745 10643
127.8 0.0000032201 0.0030306 10641
127.9 0.0000032833 0.0030876 10639
128 0.0000033476 0.0031456 10637
128.1 0.0000034131 0.0032046 10635
128.2 0.0000034797 0.0032646 10633
128.3 0.0000035475 0.0033256 10631
128.4 0.0000036164 0.0033876 10629
128.5 0.0000036866 0.0034507 10628
128.6 0.000003758 0.0035148 10626
128.7 0.0000038307 0.00358 10624
128.8 0.0000039047 0.0036463 10622
128.9 0.0000039799 0.0037136 10620
129 0.0000040564 0.0037821 10618
129.1 0.0000041343 0.0038517 10616
129.2 0.0000042135 0.0039225 10614
129.3 0.0000042941 0.0039945 10612
129.4 0.0000043761 0.0040676 10610
129.5 0.0000044595 0.0041419 10608
129.6 0.0000045443 0.0042174 10606
129.7 0.0000046306 0.0042942 10604
129.8 0.0000047184 0.0043722 10602
129.9 0.0000048077 0.0044515 10600
130 0.0000048984 0.0045321 10598
130.1 0.0000049908 0.004614 10597
130.2 0.0000050847 0.0046972 10595
130.3 0.0000051802 0.0047818 10593
130.4 0.0000052773 0.0048677 10591
130.5 0.0000053761 0.004955 10589
130.6 0.0000054766 0.0050437 10587
130.7 0.0000055787 0.0051338 10585
130.8 0.0000056825 0.0052254 10583
130.9 0.0000057881 0.0053185 10581
131 0.0000058955 0.005413 10579
131.1 0.0000060046 0.005509 10577
131.2 0.0000061156 0.0056065 10575
131.3 0.0000062285 0.0057056 10573
131.4 0.0000063432 0.0058063 10571
131.5 0.0000064598 0.0059085 10569
131.6 0.0000065783 0.0060124 10568
