"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2853
85.525 1.7238E-10 0.00000024195 16626
85.6 1.7785E-10 0.00000024924 16624
85.7 1.849E-10 0.00000025929 16622
85.8 1.9079E-10 0.00000026971 16619
85.9 1.9851E-10 0.00000028053 16617
86 2.083E-10 0.00000029175 16615
86.1 2.1701E-10 0.00000030338 16612
86.2 2.2619E-10 0.00000031546 16610
86.3 2.3499E-10 0.00000032797 16607
86.4 2.4541E-10 0.00000034096 16605
86.5 2.5503E-10 0.00000035442 16603
86.6 2.6626E-10 0.00000036837 16600
86.7 2.7634E-10 0.00000038284 16598
86.8 2.8753E-10 0.00000039784 16596
86.9 2.9919E-10 0.00000041338 16593
87 3.1177E-10 0.0000004295 16591
87.1 3.2322E-10 0.00000044619 16589
87.2 3.3591E-10 0.00000046349 16586
87.3 3.51E-10 0.00000048142 16584
87.4 3.6321E-10 0.00000049999 16581
87.5 3.787E-10 0.00000051923 16579
87.6 3.9206E-10 0.00000053915 16577
87.7 4.08E-10 0.00000055979 16574
87.8 4.2417E-10 0.00000058117 16572
87.9 4.422E-10 0.0000006033 16570
88 4.5827E-10 0.00000062622 16567
88.1 4.7555E-10 0.00000064995 16565
88.2 4.9423E-10 0.00000067452 16563
88.3 5.1392E-10 0.00000069995 16560
88.4 5.3264E-10 0.00000072627 16558
88.5 5.5454E-10 0.00000075351 16555
88.6 5.7565E-10 0.0000007817 16553
88.7 5.9808E-10 0.00000081088 16551
88.8 6.2129E-10 0.00000084106 16548
88.9 6.4282E-10 0.00000087229 16546
89 6.6892E-10 0.0000009046 16544
89.1 6.9532E-10 0.00000093803 16541
89.2 7.2087E-10 0.0000009726 16539
89.3 7.4851E-10 0.0000010084 16537
89.4 7.7695E-10 0.0000010453 16534
89.5 8.0641E-10 0.0000010836 16532
89.6 8.3701E-10 0.0000011231 16530
89.7 8.6778E-10 0.000001164 16527
89.8 9.0137E-10 0.0000012062 16525
89.9 9.3348E-10 0.0000012499 16522
90 9.6918E-10 0.0000012951 16520
90.1 0.0000000010062 0.0000013417 16518
90.2 0.0000000010416 0.00000139 16515
90.3 0.0000000010809 0.0000014398 16513
90.4 0.0000000011206 0.0000014913 16511
90.5 0.0000000011601 0.0000015445 16508
90.6 0.0000000012046 0.0000015995 16506
90.7 0.0000000012491 0.0000016562 16504
90.8 0.0000000012941 0.0000017149 16501
90.9 0.0000000013408 0.0000017755 16499
91 0.0000000013908 0.0000018381 16497
91.1 0.0000000014415 0.0000019027 16494
91.2 0.0000000014937 0.0000019694 16492
91.3 0.0000000015468 0.0000020383 16490
91.4 0.0000000016027 0.0000021094 16487
91.5 0.0000000016606 0.0000021828 16485
91.6 0.0000000017202 0.0000022586 16483
91.7 0.0000000017822 0.0000023369 16480
91.8 0.0000000018483 0.0000024176 16478
91.9 0.0000000019102 0.0000025009 16475
92 0.0000000019783 0.0000025869 16473
92.1 0.0000000020489 0.0000026757 16471
92.2 0.0000000021207 0.0000027672 16468
92.3 0.0000000021976 0.0000028617 16466
92.4 0.0000000022728 0.0000029591 16464
92.5 0.0000000023515 0.0000030597 16461
92.6 0.0000000024343 0.0000031634 16459
92.7 0.0000000025197 0.0000032703 16457
92.8 0.0000000026085 0.0000033806 16454
92.9 0.000000002698 0.0000034943 16452
93 0.0000000027927 0.0000036116 16450
93.1 0.0000000028894 0.0000037325 16447
93.2 0.0000000029891 0.0000038572 16445
93.3 0.0000000030922 0.0000039857 16443
93.4 0.0000000031978 0.0000041182 16440
93.5 0.0000000033073 0.0000042547 16438
93.6 0.0000000034203 0.0000043955 16436
93.7 0.000000003537 0.0000045405 16433
93.8 0.0000000036587 0.00000469 16431
93.9 0.0000000037816 0.0000048441 16429
94 0.0000000039096 0.0000050028 16426
94.1 0.0000000040418 0.0000051663 16424
94.2 0.0000000041786 0.0000053348 16422
94.3 0.0000000043188 0.0000055083 16419
94.4 0.0000000044639 0.0000056871 16417
94.5 0.0000000046142 0.0000058712 16414
94.6 0.0000000047669 0.0000060608 16412
94.7 0.0000000049257 0.0000062561 16410
94.8 0.0000000050881 0.0000064572 16407
94.9 0.0000000052585 0.0000066643 16405
95 0.0000000054323 0.0000068775 16403
95.1 0.0000000056119 0.0000070971 16400
95.2 0.0000000057961 0.0000073231 16398
95.3 0.0000000059887 0.0000075557 16396
95.4 0.0000000061842 0.0000077952 16393
95.5 0.0000000063835 0.0000080417 16391
95.6 0.0000000065924 0.0000082953 16389
95.7 0.0000000068083 0.0000085564 16386
95.8 0.0000000070293 0.000008825 16384
95.9 0.0000000072572 0.0000091015 16382
96 0.0000000074917 0.0000093859 16379
96.1 0.000000007733 0.0000096785 16377
96.2 0.0000000079827 0.0000099795 16375
96.3 0.0000000082415 0.000010289 16372
96.4 0.0000000085025 0.000010608 16370
96.5 0.0000000087736 0.000010935 16368
96.6 0.0000000090529 0.000011272 16365
96.7 0.0000000093422 0.000011619 16363
96.8 0.0000000096378 0.000011975 16361
96.9 0.0000000099443 0.000012342 16358
97 0.000000010257 0.000012719 16356
97.1 0.000000010581 0.000013106 16354
97.2 0.000000010913 0.000013504 16351
97.3 0.000000011256 0.000013914 16349
97.4 0.000000011608 0.000014334 16347
97.5 0.000000011971 0.000014767 16344
97.6 0.000000012344 0.000015212 16342
97.7 0.000000012728 0.000015669 16340
97.8 0.000000013123 0.000016138 16337
97.9 0.000000013529 0.000016621 16335
98 0.000000013947 0.000017117 16333
98.1 0.000000014376 0.000017626 16330
98.2 0.000000014819 0.000018149 16328
98.3 0.000000015273 0.000018687 16326
98.4 0.000000015741 0.00001924 16323
98.5 0.000000016222 0.000019807 16321
98.6 0.000000016715 0.00002039 16319
98.7 0.000000017224 0.000020988 16316
98.8 0.000000017746 0.000021603 16314
98.9 0.000000018284 0.000022235 16312
99 0.000000018836 0.000022883 16309
99.1 0.000000019403 0.000023549 16307
99.2 0.000000019987 0.000024232 16305
99.3 0.000000020586 0.000024934 16302
99.4 0.0000000212 0.000025654 16300
99.5 0.000000021835 0.000026394 16298
99.6 0.000000022486 0.000027153 16295
99.7 0.000000023154 0.000027932 16293
99.8 0.000000023841 0.000028732 16291
99.9 0.000000024547 0.000029553 16288
100 0.00000002527 0.000030395 16286
100.1 0.000000026017 0.00003126 16284
100.2 0.000000026782 0.000032147 16281
100.3 0.000000027567 0.000033057 16279
100.4 0.000000028375 0.000033991 16277
100.5 0.000000029203 0.000034949 16275
100.6 0.000000030054 0.000035931 16272
100.7 0.000000030929 0.00003694 16270
100.8 0.000000031826 0.000037974 16268
100.9 0.000000032745 0.000039035 16265
101 0.000000033693 0.000040123 16263
101.1 0.000000034665 0.000041238 16261
101.2 0.000000035662 0.000042383 16258
101.3 0.000000036685 0.000043556 16256
101.4 0.000000037736 0.000044759 16254
101.5 0.000000038813 0.000045993 16251
101.6 0.000000039922 0.000047258 16249
101.7 0.000000041057 0.000048554 16247
101.8 0.000000042222 0.000049884 16244
101.9 0.000000043418 0.000051246 16242
102 0.000000044645 0.000052643 16240
102.1 0.000000045904 0.000054075 16237
102.2 0.000000047195 0.000055543 16235
102.3 0.000000048522 0.000057047 16233
102.4 0.000000049881 0.000058588 16230
102.5 0.000000051276 0.000060167 16228
102.6 0.000000052708 0.000061786 16226
102.7 0.000000054172 0.000063444 16223
102.8 0.000000055679 0.000065143 16221
102.9 0.000000057223 0.000066884 16219
103 0.000000058806 0.000068667 16216
103.1 0.00000006043 0.000070494 16214
103.2 0.000000062093 0.000072366 16212
103.3 0.0000000638 0.000074283 16209
103.4 0.00000006555 0.000076246 16207
103.5 0.000000067343 0.000078257 16205
103.6 0.000000069183 0.000080316 16203
103.7 0.000000071068 0.000082425 16200
103.8 0.000000073 0.000084585 16198
103.9 0.000000074981 0.000086796 16196
104 0.000000077011 0.000089061 16193
104.1 0.000000079091 0.000091379 16191
104.2 0.000000081224 0.000093752 16189
104.3 0.000000083409 0.000096182 16186
104.4 0.000000085648 0.00009867 16184
104.5 0.000000087943 0.00010122 16182
104.6 0.000000090294 0.00010382 16179
104.7 0.000000092701 0.00010649 16177
104.8 0.00000009517 0.00010922 16175
104.9 0.000000097697 0.00011201 16172
105 0.00000010029 0.00011487 16170
105.1 0.00000010294 0.0001178 16168
105.2 0.00000010566 0.00012079 16165
105.3 0.00000010844 0.00012386 16163
105.4 0.00000011129 0.00012699 16161
105.5 0.00000011421 0.0001302 16159
105.6 0.0000001172 0.00013348 16156
105.7 0.00000012026 0.00013684 16154
105.8 0.00000012339 0.00014027 16152
105.9 0.0000001266 0.00014378 16149
106 0.00000012989 0.00014738 16147
106.1 0.00000013325 0.00015105 16145
106.2 0.0000001367 0.00015481 16142
106.3 0.00000014022 0.00015865 16140
106.4 0.00000014383 0.00016258 16138
106.5 0.00000014753 0.0001666 16135
106.6 0.00000015131 0.00017071 16133
106.7 0.00000015518 0.00017492 16131
106.8 0.00000015914 0.00017921 16128
106.9 0.00000016319 0.00018361 16126
107 0.00000016734 0.0001881 16124
107.1 0.00000017158 0.00019269 16122
107.2 0.00000017593 0.00019738 16119
107.3 0.00000018037 0.00020218 16117
107.4 0.00000018492 0.00020708 16115
107.5 0.00000018957 0.00021209 16112
107.6 0.00000019433 0.00021722 16110
107.7 0.0000001992 0.00022245 16108
107.8 0.00000020418 0.0002278 16105
107.9 0.00000020927 0.00023327 16103
108 0.00000021448 0.00023886 16101
108.1 0.00000021981 0.00024456 16098
108.2 0.00000022526 0.0002504 16096
108.3 0.00000023084 0.00025636 16094
108.4 0.00000023654 0.00026244 16091
108.5 0.00000024237 0.00026866 16089
108.6 0.00000024833 0.00027502 16087
108.7 0.00000025442 0.00028151 16085
108.8 0.00000026065 0.00028814 16082
108.9 0.00000026703 0.00029491 16080
109 0.00000027354 0.00030183 16078
109.1 0.0000002802 0.00030889 16075
109.2 0.000000287 0.00031611 16073
109.3 0.00000029396 0.00032347 16071
109.4 0.00000030107 0.000331 16068
109.5 0.00000030834 0.00033868 16066
109.6 0.00000031578 0.00034653 16064
109.7 0.00000032337 0.00035454 16061
109.8 0.00000033113 0.00036271 16059
109.9 0.00000033906 0.00037106 16057
110 0.00000034717 0.00037959 16055
110.1 0.00000035545 0.00038829 16052
110.2 0.00000036391 0.00039717 16050
110.3 0.00000037256 0.00040624 16048
110.4 0.00000038139 0.0004155 16045
110.5 0.00000039041 0.00042494 16043
110.6 0.00000039963 0.00043458 16041
110.7 0.00000040905 0.00044442 16038
110.8 0.00000041867 0.00045447 16036
110.9 0.0000004285 0.00046472 16034
111 0.00000043854 0.00047517 16031
111.1 0.00000044879 0.00048585 16029
111.2 0.00000045927 0.00049673 16027
111.3 0.00000046996 0.00050784 16025
111.4 0.00000048088 0.00051918 16022
111.5 0.00000049203 0.00053075 16020
111.6 0.00000050342 0.00054254 16018
111.7 0.00000051505 0.00055458 16015
111.8 0.00000052693 0.00056686 16013
111.9 0.00000053905 0.00057938 16011
112 0.00000055143 0.00059216 16008
112.1 0.00000056407 0.00060519 16006
112.2 0.00000057697 0.00061848 16004
112.3 0.00000059014 0.00063203 16002
112.4 0.00000060358 0.00064586 15999
112.5 0.0000006173 0.00065995 15997
112.6 0.00000063131 0.00067433 15995
112.7 0.00000064561 0.00068899 15992
112.8 0.0000006602 0.00070394 15990
112.9 0.00000067509 0.00071918 15988
113 0.00000069029 0.00073472 15985
113.1 0.0000007058 0.00075056 15983
113.2 0.00000072163 0.00076672 15981
113.3 0.00000073778 0.00078318 15978
113.4 0.00000075426 0.00079997 15976
113.5 0.00000077107 0.00081708 15974
113.6 0.00000078823 0.00083453 15972
113.7 0.00000080573 0.00085231 15969
113.8 0.00000082359 0.00087043 15967
113.9 0.0000008418 0.0008889 15965
114 0.00000086039 0.00090773 15962
114.1 0.00000087934 0.00092691 15960
114.2 0.00000089868 0.00094647 15958
114.3 0.0000009184 0.00096639 15955
114.4 0.00000093852 0.0009867 15953
114.5 0.00000095903 0.0010074 15951
114.6 0.00000097996 0.0010285 15949
114.7 0.0000010013 0.0010499 15946
114.8 0.0000010231 0.0010718 15944
114.9 0.0000010452 0.0010941 15942
115 0.0000010679 0.0011168 15939
115.1 0.000001091 0.00114 15937
115.2 0.0000011145 0.0011636 15935
115.3 0.0000011385 0.0011876 15932
115.4 0.0000011629 0.001212 15930
115.5 0.0000011879 0.0012369 15928
115.6 0.0000012133 0.0012623 15926
115.7 0.0000012392 0.0012882 15923
115.8 0.0000012656 0.0013145 15921
115.9 0.0000012925 0.0013413 15919
116 0.00000132 0.0013686 15916
116.1 0.000001348 0.0013964 15914
116.2 0.0000013765 0.0014247 15912
116.3 0.0000014055 0.0014535 15909
116.4 0.0000014351 0.0014829 15907
116.5 0.0000014653 0.0015128 15905
116.6 0.0000014961 0.0015432 15903
116.7 0.0000015274 0.0015742 15900
116.8 0.0000015594 0.0016057 15898
116.9 0.0000015919 0.0016379 15896
117 0.0000016251 0.0016705 15893
117.1 0.0000016589 0.0017038 15891
117.2 0.0000016933 0.0017377 15889
117.3 0.0000017284 0.0017722 15887
117.4 0.0000017641 0.0018073 15884
117.5 0.0000018005 0.001843 15882
117.6 0.0000018376 0.0018794 15880
117.7 0.0000018754 0.0019164 15877
117.8 0.0000019138 0.001954 15875
117.9 0.000001953 0.0019923 15873
118 0.0000019929 0.0020313 15870
118.1 0.0000020336 0.002071 15868
118.2 0.000002075 0.0021114 15866
118.3 0.0000021172 0.0021525 15864
118.4 0.0000021601 0.0021943 15861
118.5 0.0000022039 0.0022368 15859
118.6 0.0000022484 0.0022801 15857
118.7 0.0000022938 0.0023242 15854
118.8 0.0000023399 0.002369 15852
118.9 0.000002387 0.0024145 15850
119 0.0000024348 0.0024609 15847
119.1 0.0000024836 0.0025081 15845
119.2 0.0000025332 0.002556 15843
119.3 0.0000025837 0.0026048 15841
119.4 0.0000026352 0.0026544 15838
119.5 0.0000026875 0.0027049 15836
119.6 0.0000027408 0.0027563 15834
119.7 0.0000027951 0.0028085 15831
119.8 0.0000028503 0.0028616 15829
119.9 0.0000029065 0.0029156 15827
120 0.0000029638 0.0029705 15825
120.1 0.000003022 0.0030264 15822
120.2 0.0000030813 0.0030831 15820
120.3 0.0000031416 0.0031409 15818
120.4 0.000003203 0.0031996 15815
120.5 0.0000032654 0.0032593 15813
120.6 0.000003329 0.00332 15811
120.7 0.0000033937 0.0033817 15808
120.8 0.0000034595 0.0034444 15806
120.9 0.0000035265 0.0035082 15804
121 0.0000035946 0.003573 15802
121.1 0.000003664 0.0036389 15799
121.2 0.0000037345 0.0037059 15797
121.3 0.0000038063 0.003774 15795
121.4 0.0000038793 0.0038433 15792
121.5 0.0000039535 0.0039136 15790
121.6 0.0000040291 0.0039851 15788
121.7 0.0000041059 0.0040578 15786
121.8 0.0000041841 0.0041317 15783
121.9 0.0000042636 0.0042068 15781
122 0.0000043445 0.0042831 15779
122.1 0.0000044268 0.0043606 15776
122.2 0.0000045105 0.0044394 15774
122.3 0.0000045956 0.0045194 15772
122.4 0.0000046821 0.0046008 15769
122.5 0.0000047701 0.0046834 15767
122.6 0.0000048596 0.0047674 15765
122.7 0.0000049506 0.0048527 15763
122.8 0.0000050432 0.0049394 15760
122.9 0.0000051373 0.0050275 15758
123 0.000005233 0.005117 15756
123.1 0.0000053303 0.0052079 15753
123.2 0.0000054292 0.0053003 15751
123.3 0.0000055298 0.0053941 15749
123.4 0.000005632 0.0054894 15747
123.5 0.000005736 0.0055862 15744
123.6 0.0000058417 0.0056845 15742
123.7 0.0000059491 0.0057843 15740
123.8 0.0000060583 0.0058858 15737
123.9 0.0000061693 0.0059888 15735
124 0.0000062822 0.0060934 15733
124.1 0.0000063969 0.0061997 15731
124.2 0.0000065135 0.0063076 15728
124.3 0.000006632 0.0064172 15726
124.4 0.0000067524 0.0065285 15724
124.5 0.0000068748 0.0066415 15721
124.6 0.0000069992 0.0067562 15719
124.7 0.0000071256 0.0068727 15717
124.8 0.0000072541 0.006991 15714
124.9 0.0000073846 0.0071112 15712
125 0.0000075173 0.0072331 15710
125.1 0.0000076521 0.0073569 15708
125.2 0.0000077891 0.0074827 15705
125.3 0.0000079283 0.0076103 15703
125.4 0.0000080697 0.0077399 15701
125.5 0.0000082133 0.0078714 15698
125.6 0.0000083593 0.0080049 15696
125.7 0.0000085076 0.0081404 15694
125.8 0.0000086583 0.008278 15692
125.9 0.0000088113 0.0084177 15689
126 0.0000089668 0.0085594 15687
126.1 0.0000091248 0.0087033 15685
126.2 0.0000092852 0.0088493 15682
126.3 0.0000094482 0.0089975 15680
126.4 0.0000096138 0.0091479 15678
126.5 0.0000097819 0.0093006 15676
126.6 0.0000099527 0.0094555 15673
