"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
3323
179.7 0.0000089164 0.0059678 12110
179.8 0.0000090302 0.0060406 12109
179.9 0.0000091454 0.0061143 12107
180 0.0000092618 0.0061887 12106
180.1 0.0000093796 0.0062639 12105
180.2 0.0000094988 0.00634 12104
180.3 0.0000096193 0.0064168 12102
180.4 0.0000097412 0.0064945 12101
180.5 0.0000098644 0.0065731 12100
180.6 0.0000099891 0.0066525 12099
180.7 0.000010115 0.0067327 12097
180.8 0.000010243 0.0068138 12096
180.9 0.000010372 0.0068958 12095
181 0.000010502 0.0069787 12094
181.1 0.000010634 0.0070624 12092
181.2 0.000010767 0.0071471 12091
181.3 0.000010902 0.0072326 12090
181.4 0.000011039 0.0073191 12088
181.5 0.000011177 0.0074064 12087
181.6 0.000011316 0.0074947 12086
181.7 0.000011457 0.007584 12085
181.8 0.0000116 0.0076742 12083
181.9 0.000011744 0.0077653 12082
182 0.00001189 0.0078574 12081
182.1 0.000012037 0.0079505 12080
182.2 0.000012186 0.0080446 12078
182.3 0.000012337 0.0081397 12077
182.4 0.00001249 0.0082357 12076
182.5 0.000012644 0.0083328 12075
182.6 0.0000128 0.0084309 12073
182.7 0.000012957 0.00853 12072
182.8 0.000013116 0.0086301 12071
182.9 0.000013277 0.0087313 12070
183 0.00001344 0.0088336 12068
183.1 0.000013605 0.0089369 12067
183.2 0.000013771 0.0090413 12066
183.3 0.00001394 0.0091467 12064
183.4 0.00001411 0.0092533 12063
183.5 0.000014282 0.009361 12062
183.6 0.000014456 0.0094698 12061
183.7 0.000014631 0.0095797 12059
183.8 0.000014809 0.0096907 12058
183.9 0.000014988 0.0098029 12057
184 0.00001517 0.0099162 12056
184.1 0.000015354 0.010031 12054
184.2 0.000015539 0.010146 12053
184.3 0.000015727 0.010263 12052
184.4 0.000015916 0.010381 12051
184.5 0.000016108 0.010501 12049
184.6 0.000016301 0.010621 12048
184.7 0.000016497 0.010743 12047
184.8 0.000016695 0.010866 12045
184.9 0.000016895 0.01099 12044
185 0.000017097 0.011115 12043
185.1 0.000017301 0.011242 12042
185.2 0.000017508 0.01137 12040
185.3 0.000017716 0.0115 12039
185.4 0.000017927 0.01163 12038
185.5 0.00001814 0.011762 12037
185.6 0.000018356 0.011895 12035
185.7 0.000018573 0.01203 12034
185.8 0.000018793 0.012166 12033
185.9 0.000019016 0.012303 12032
186 0.000019241 0.012442 12030
186.1 0.000019468 0.012582 12029
186.2 0.000019697 0.012723 12028
186.3 0.000019929 0.012866 12027
186.4 0.000020163 0.013011 12025
186.5 0.0000204 0.013156 12024
186.6 0.000020639 0.013304 12023
186.7 0.000020881 0.013452 12021
186.8 0.000021126 0.013602 12020
186.9 0.000021372 0.013754 12019
187 0.000021622 0.013907 12018
187.1 0.000021874 0.014062 12016
187.2 0.000022129 0.014218 12015
187.3 0.000022386 0.014375 12014
187.4 0.000022646 0.014535 12013
187.5 0.000022909 0.014695 12011
187.6 0.000023174 0.014858 12010
187.7 0.000023442 0.015022 12009
187.8 0.000023713 0.015187 12008
187.9 0.000023987 0.015355 12006
188 0.000024264 0.015523 12005
188.1 0.000024543 0.015694 12004
188.2 0.000024825 0.015866 12003
188.3 0.000025111 0.01604 12001
188.4 0.000025399 0.016215 12000
188.5 0.00002569 0.016392 11999
188.6 0.000025984 0.016571 11997
188.7 0.000026281 0.016752 11996
188.8 0.000026581 0.016934 11995
188.9 0.000026884 0.017118 11994
189 0.000027191 0.017304 11992
189.1 0.0000275 0.017492 11991
189.2 0.000027812 0.017681 11990
189.3 0.000028128 0.017872 11989
189.4 0.000028447 0.018065 11987
189.5 0.000028769 0.01826 11986
189.6 0.000029094 0.018457 11985
189.7 0.000029423 0.018656 11984
189.8 0.000029755 0.018856 11982
189.9 0.00003009 0.019059 11981
190 0.000030429 0.019263 11980
190.1 0.000030771 0.019469 11979
190.2 0.000031117 0.019678 11977
190.3 0.000031465 0.019888 11976
190.4 0.000031818 0.0201 11975
190.5 0.000032174 0.020314 11973
190.6 0.000032533 0.02053 11972
190.7 0.000032896 0.020749 11971
190.8 0.000033263 0.020969 11970
190.9 0.000033633 0.021191 11968
191 0.000034007 0.021416 11967
191.1 0.000034385 0.021642 11966
191.2 0.000034767 0.021871 11965
191.3 0.000035152 0.022102 11963
191.4 0.000035541 0.022335 11962
191.5 0.000035934 0.02257 11961
191.6 0.000036331 0.022807 11960
191.7 0.000036731 0.023047 11958
191.8 0.000037136 0.023288 11957
191.9 0.000037544 0.023532 11956
192 0.000037957 0.023778 11954
192.1 0.000038373 0.024027 11953
192.2 0.000038794 0.024278 11952
192.3 0.000039219 0.024531 11951
192.4 0.000039648 0.024786 11949
192.5 0.000040081 0.025044 11948
192.6 0.000040518 0.025304 11947
