"Temperature_(K)" "Pressure_(MPa)" "Vap._Density_(mol/m3)" "Liq._Density_(mol/m3)"
2160
136.34 0.000048 0.042353 27473
136.4 0.000048451 0.042732 27471
136.5 0.000049211 0.043371 27466
136.6 0.000049982 0.044018 27461
136.7 0.000050764 0.044674 27457
136.8 0.000051557 0.045339 27452
136.9 0.000052361 0.046012 27447
137 0.000053176 0.046694 27443
137.1 0.000054002 0.047385 27438
137.2 0.00005484 0.048085 27433
137.3 0.000055689 0.048795 27429
137.4 0.00005655 0.049513 27424
137.5 0.000057423 0.050241 27419
137.6 0.000058307 0.050978 27415
137.7 0.000059204 0.051725 27410
137.8 0.000060113 0.052481 27405
137.9 0.000061035 0.053247 27401
138 0.000061969 0.054023 27396
138.1 0.000062916 0.054809 27391
138.2 0.000063876 0.055605 27387
138.3 0.000064849 0.056411 27382
138.4 0.000065835 0.057228 27377
138.5 0.000066834 0.058055 27373
138.6 0.000067847 0.058892 27368
138.7 0.000068874 0.05974 27363
138.8 0.000069914 0.060599 27359
138.9 0.000070968 0.061469 27354
139 0.000072037 0.06235 27349
139.1 0.000073119 0.063242 27345
139.2 0.000074216 0.064145 27340
139.3 0.000075328 0.065059 27335
139.4 0.000076455 0.065985 27331
139.5 0.000077596 0.066922 27326
139.6 0.000078753 0.067872 27321
139.7 0.000079925 0.068833 27317
139.8 0.000081113 0.069806 27312
139.9 0.000082316 0.070791 27307
140 0.000083535 0.071788 27302
140.1 0.00008477 0.072797 27298
140.2 0.000086021 0.07382 27293
140.3 0.000087289 0.074854 27288
140.4 0.000088573 0.075902 27284
140.5 0.000089874 0.076962 27279
140.6 0.000091192 0.078035 27274
140.7 0.000092527 0.079122 27270
140.8 0.000093879 0.080222 27265
140.9 0.000095249 0.081335 27260
141 0.000096637 0.082462 27256
141.1 0.000098043 0.083602 27251
141.2 0.000099466 0.084756 27246
141.3 0.00010091 0.085925 27242
141.4 0.00010237 0.087107 27237
141.5 0.00010385 0.088304 27232
141.6 0.00010535 0.089515 27228
141.7 0.00010686 0.090741 27223
141.8 0.0001084 0.091981 27218
141.9 0.00010996 0.093236 27214
142 0.00011153 0.094507 27209
142.1 0.00011313 0.095792 27204
142.2 0.00011475 0.097093 27200
142.3 0.00011638 0.098409 27195
142.4 0.00011804 0.099741 27190
142.5 0.00011972 0.10109 27186
142.6 0.00012142 0.10245 27181
142.7 0.00012314 0.10383 27176
142.8 0.00012488 0.10523 27172
142.9 0.00012665 0.10664 27167
143 0.00012843 0.10807 27162
143.1 0.00013024 0.10951 27158
143.2 0.00013207 0.11098 27153
143.3 0.00013393 0.11246 27148
143.4 0.0001358 0.11395 27144
143.5 0.0001377 0.11547 27139
143.6 0.00013963 0.117 27134
143.7 0.00014157 0.11855 27130
143.8 0.00014355 0.12012 27125
143.9 0.00014554 0.1217 27120
144 0.00014756 0.12331 27116
144.1 0.00014961 0.12493 27111
144.2 0.00015168 0.12657 27106
144.3 0.00015377 0.12823 27102
144.4 0.00015589 0.12991 27097
144.5 0.00015804 0.13161 27092
144.6 0.00016021 0.13333 27088
144.7 0.00016241 0.13507 27083
144.8 0.00016464 0.13682 27078
