#T = 293.15 K
#pressure (bar)	loading(mmol/g)
0.0001000	0.0123420
0.0002500	0.0307370
0.0005000	0.0610080
0.0007500	0.0894950
0.0010000	0.1170540
0.0025000	0.2854830
0.0050000	0.5413520
0.0099990	0.9536730
0.0149990	1.2641550
0.0199980	1.4931020
0.0249960	1.6729540
0.0299950	1.8178940
0.0349930	1.9382770
0.0449880	2.1132080
0.0499860	2.1850410
0.0549830	2.2442890
0.0599790	2.2934980
0.0649760	2.3433930
0.0699720	2.3854700
0.0749680	2.4244060
0.0799630	2.4594570
0.0849580	2.4954220
0.0899530	2.5221940
0.0949480	2.5558430
0.0999430	2.5749160
0.1498710	2.7799070
0.1997700	2.9057830
0.2496410	3.0211190
0.2994830	3.1137860
0.3492960	3.1928100
0.3990810	3.2783630
0.4488360	3.3607680
0.4985640	3.4226410
0.7467690	3.7567030
0.9942590	4.0214230
1.4870910	4.3878960
1.9770660	4.6531940
2.4641900	4.8223810
2.9484700	4.9446220
3.4299100	5.0674160
3.9085170	5.1162710
4.3842960	5.1416190
4.8572530	5.1818100
5.3273930	5.2528700
5.3273930	5.2528700
5.7947230	5.2684200
6.7209710	5.2921220
7.6360410	5.3271080
9.4328140	5.4093740
13.7319840	5.4836800
17.7594470	5.5027850
25.0139840	5.5492770
31.2139760	5.5683080
36.3429110	5.5794300
41.1165970	5.5812170
43.4925520	5.5851880
-------------------------------------------------------------------
#T = 293.15 K - reverse test (theoretical model)
#pressure (bar)	loading(mmol/g)
0.0000010	0.000095990
0.0500510	1.882657907
0.1001011	2.400104341
0.1501511	2.681865347
0.2002012	2.877209910
0.2502512	3.029372469
0.3003013	3.155744296
0.3503513	3.264815930
0.4004014	3.361315008
0.4504514	3.448140308
0.5005015	3.527205541
0.5505515	3.599849772
0.6006016	3.667054611
0.6506516	3.729567221
0.7007017	3.787974012
0.7507517	3.842746936
0.8008018	3.894273780
0.8508518	3.942878709
0.9009019	3.988836632
0.9509519	4.032383528
1.0010020	4.073724055
1.0510520	4.113037280
1.1011021	4.150481068
1.1511521	4.186195517
1.2012022	4.220305679
1.2512522	4.252923744
1.3013023	4.284150822
1.3513523	4.314078405
1.4014024	4.342789589
1.4514524	4.370360090
1.5015025	4.396859110
1.5515525	4.422350072
1.6016026	4.446891248
1.6516526	4.470536306
1.7017027	4.493334779
1.7517527	4.515332481
1.8018028	4.536571858
1.8518528	4.557092315
1.9019029	4.576930489
1.9519529	4.596120499
2.0020030	4.614694169
2.0520530	4.632681220
2.1021031	4.650109448
2.1521531	4.667004885
2.2022032	4.683391935
2.2522532	4.699293510
2.3023033	4.714731136
2.3523533	4.729725067
2.4024034	4.744294375
2.4524534	4.758457039
2.5025035	4.772230021
