#T = 293.15 K
#pressure (bar)	loading(mmol/g)
0.000023947	0.001282051
0.000379163	0.029062807
0.000759871	0.059300456
0.001112330	0.087510051
0.002311250	0.185745555
0.003486710	0.282989368
0.004628830	0.377481462
0.005628190	0.459014563
0.006716870	0.546019834
0.007847040	0.634177611
0.009002560	0.721160547
0.010150900	0.803252033
0.013542100	1.049950862
0.016770400	1.223358349
0.020093000	1.370999732
0.028146200	1.633413741
0.033509000	1.756222639
0.040258300	1.878187260
0.055682300	2.068851068
0.077613500	2.237300098
0.101597000	2.360716519
0.123797000	2.447525239
0.145293000	2.517399267
0.166162000	2.577043688
0.186904000	2.630228714
0.207389000	2.679241490
0.227882000	2.724582328
0.248303000	2.766872152
0.268675000	2.807339409
0.289075000	2.846377200
0.309368000	2.883319932
0.329627000	2.919471991
0.349910000	2.953899759
0.370128000	2.987501117
0.390451000	3.019690878
0.410680000	3.051902975
0.430942000	3.083449477
0.451264000	3.113307424
0.471548000	3.141807380
0.491785000	3.171106942
0.512053000	3.198744751
0.532295000	3.226110069
0.552499000	3.253144823
0.572807000	3.279170017
0.593058000	3.304900384
0.613196000	3.329451443
0.633540000	3.353654070
0.653768000	3.377570803
0.674015000	3.401550076
0.694238000	3.423621907
0.714524000	3.447114268
0.734764000	3.467979987
0.754993000	3.489180738
0.775147000	3.511002412
0.795483000	3.531229340
0.815686000	3.551076566
0.835889000	3.570655767
0.856152000	3.591883320
0.876392000	3.610149200
0.896625000	3.629335299
0.916833000	3.647788797
0.937063000	3.665389082
0.957305000	3.683181453
0.977573000	3.699647101
0.997776000	3.717921915
-------------------------------------------------------------------
#T = 298.15 K
#pressure (bar)	loading(mmol/g)
0.000029026	0.001304387
0.000491969	0.028888591
0.000799755	0.047377825
0.001130690	0.067421603
0.002281840	0.138452604
0.003437710	0.210408291
0.004585350	0.282229965
0.005567960	0.343589744
0.006839650	0.422518538
0.007839130	0.483793442
0.008932600	0.550031270
0.010062000	0.616671134
0.013566600	0.808634861
0.016831000	0.969208434
0.020040800	1.109322791
0.027999500	1.384709193
0.032949800	1.515540963
0.039306400	1.650567319
0.061855000	1.954355401
0.079682500	2.097672653
0.101669000	2.220561958
0.123512000	2.311002412
0.145085000	2.382877691
0.166207000	2.442053069
0.186985000	2.493366390
0.207653000	2.539439828
0.228177000	2.581055124
0.248591000	2.619981238
0.268965000	2.655968016
0.289329000	2.689989279
0.309740000	2.723090324
0.329955000	2.753783615
0.350318000	2.784186545
0.370493000	2.813539712
0.390839000	2.840994371
0.411150000	2.869002948
0.431375000	2.895903690
0.451614000	2.921366032
0.471814000	2.946716698
0.492122000	2.971142678
0.512367000	2.995564192
0.532629000	3.018788529
0.552835000	3.042611454
0.573095000	3.065406951
0.593352000	3.086996337
0.613595000	3.109153042
0.633790000	3.131068525
0.654015000	3.152130796
0.674258000	3.172701689
0.694487000	3.193344054
0.714703000	3.212503350
0.734936000	3.232203163
0.755176000	3.251331189
0.775427000	3.271290092
0.795602000	3.289980345
0.815820000	3.308679532
0.836099000	3.326865005
0.856282000	3.343920307
0.876565000	3.360828196
0.896742000	3.379500581
0.916995000	3.394992406
0.937246000	3.413535245
0.957446000	3.428817118
0.977638000	3.444612704
0.997914000	3.459541678
-------------------------------------------------------------------
#T = 313.15 K
#pressure (bar)	loading(mmol/g)
0.000049667	0.000942553
0.000433913	0.011556330
0.000795654	0.021544715
0.001186470	0.032497990
0.002362110	0.066286965
0.003515190	0.099580095
0.004631880	0.132064683
0.005668900	0.162262128
0.006776110	0.194492093
0.007901760	0.227284910
0.009030610	0.260006254
0.010148900	0.292249620
0.013540800	0.386692576
0.016672900	0.475480211
0.020057700	0.568864469
0.027199500	0.754029304
0.032806100	0.886102921
0.039234000	1.022103100
0.059576000	1.357562762
0.076140800	1.548168498
0.097435600	1.726404896
0.120068000	1.862842848
0.142758000	1.966036809
0.164785000	2.044496560
0.186174000	2.107259001
0.207169000	2.159756098
0.228012000	2.204341999
0.248572000	2.243317252
0.269126000	2.278004110
0.289620000	2.309608684
0.310034000	2.337921022
0.330399000	2.364719021
0.350737000	2.388921647
0.371087000	2.411788618
0.391270000	2.433811311
0.411679000	2.454132047
0.431878000	2.474269633
0.452233000	2.492347896
0.472424000	2.510077727
0.492683000	2.526829268
0.512958000	2.543326186
0.533158000	2.558701867
0.553434000	2.574358974
0.573616000	2.590485125
0.593961000	2.603680872
0.614158000	2.617448405
0.634488000	2.631175735
0.654561000	2.644009649
0.674829000	2.657098186
0.695024000	2.669856160
0.715268000	2.682551595
0.735503000	2.695130885
0.755675000	2.708733137
0.775950000	2.720374341
0.796155000	2.732774949
0.816364000	2.745568659
0.836618000	2.757870991
0.856879000	2.767953185
0.877098000	2.780871974
0.897242000	2.792437238
0.917498000	2.803435183
0.937693000	2.813597784
0.957948000	2.823751452
0.978030000	2.834302689
0.998312000	2.843755025
-------------------------------------------------------------------
#T = 353.15 K
#pressure (bar)	loading(mmol/g)
0.000091856	0.000321630
0.000498170	0.002309479
0.000884678	0.004176718
0.001134540	0.005373894
0.002266210	0.011502725
0.003481730	0.018096132
0.004453680	0.023336014
