#T = 293.15 K
#pressure (bar)	loading(mmol/g)
0.000100000	0.012341800
0.000250000	0.030737100
0.000499999	0.061008200
0.000749997	0.089495400
0.000999994	0.117054400
0.002499964	0.285482600
0.004999856	0.541352300
0.009999425	0.953673300
0.014998706	1.264155300
0.019997700	1.493102400
0.024996407	1.672954200
0.029994826	1.817894100
0.034992957	1.938277400
0.044988358	2.113208200
0.049985627	2.185040500
0.054982609	2.244289000
0.059979303	2.293498100
0.064975710	2.343392900
0.069971830	2.385470000
0.074967662	2.424405600
0.079963207	2.459457400
0.084958465	2.495422100
0.089953435	2.522193700
0.094948117	2.555843000
0.099942513	2.574916100
0.149870663	2.779907400
0.199770083	2.905782900
0.249640780	3.021119200
0.299482759	3.113785700
0.349296027	3.192810000
0.399080590	3.278363400
0.448836453	3.360767500
0.498563623	3.422640900
0.746769283	3.756702600
0.994258511	4.021422600
1.487090660	4.387896400
1.977066021	4.653194200
2.464190497	4.822381000
2.948469942	4.944622200
3.429910164	5.067416300
3.908516921	5.116270800
4.384295922	5.141619200
4.857252826	5.181810200
5.327393241	5.252869500
5.327393241	5.252869500
5.794722722	5.268420200
6.720970842	5.292122100
7.636040568	5.327107600
9.432813922	5.409374100
13.731984402	5.483679600
17.759447383	5.502785100
25.013984356	5.549276900
31.213976121	5.568308000
36.342911132	5.579429700
41.116596649	5.581216500
43.492552466	5.585188100
89.622706890	5.611823000
193.720761950	5.627850800
2940.308056400	5.728436800
-------------------------------------------------------------------
